"ANO_ELEICAO";"SG_UF";"NM_URNA_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_CARGO";"ST_REELEICAO";"NR_IDADE_DATA_POSSE"
2018;"AL";"DUDU RONALSA";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";37
2018;"RS";"PROFESSOR HÉLVIO RECH";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";54
2018;"SP";"TANI";"DC";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";44
2018;"RJ";"JAYME EDUARDO";"PRB";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";43
2018;"AM";"JONATHAS TURY";"PRP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO FEDERAL";"N";36
2018;"RS";"ANDREI COSSETIN";"PP";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";36
2018;"RJ";"ANA CARLA";"PPS";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";42
2018;"SE";"ERIVELTON CORRETOR DE IMOVEIS";"PATRI";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";39
2018;"PE";"ANDRE FERREIRA";"PSC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";46
2018;"GO";"GADI";"PRP";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";58
2018;"MT";"ROSANGELA DODA";"MDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";53
2018;"AP";"FABRÍCIO FURLAN";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"S";42
2018;"RJ";"CAROL QUINTANA";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";35
2018;"RJ";"DAVID MIRANDA";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";33
2018;"RJ";"RICARDINHO NETUNO";"PATRI";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";32
2018;"AL";"LIA DA LANCHONETE";"PPL";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"DEPUTADO ESTADUAL";"N";51
2018;"SP";"RAFAEL BROCCHI";"DC";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO FEDERAL";"N";45
2018;"RJ";"PEDRO CAVALCANTE";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"N";37
2018;"ES";"JÔ";"PTB";"FEMININO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";46
2018;"AM";"JUCELINO NASCIMENTO";"PSOL";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";43
2018;"AL";"INÁCIO LOIOLA";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"DEPUTADO ESTADUAL";"S";61
2018;"RJ";"WENDELL";"PC do B";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DEPUTADO ESTADUAL";"N";44
2018;"RO";"MARIA ELIZA";"MDB";"FEMININO";"SUPERIOR COMPLETO";"1º SUPLENTE";"N";63
